frame,time_s,board_x,board_y,board_z,gun_x,gun_y,gun_z,state,collision_active,contact_force_n,tool_pressure,nails_installed,robot_label
46,1.5333,-0.7766666666666664,-0.4153333333333329,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
47,1.5667,-0.7283333333333335,-0.36566666666666636,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
48,1.6,-0.6800000000000002,-0.31599999999999984,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
49,1.6333,-0.6316666666666668,-0.2663333333333333,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
50,1.6667,-0.5833333333333335,-0.21666666666666634,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
51,1.7,-0.5350000000000001,-0.16699999999999982,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
52,1.7333,-0.4866666666666668,-0.11733333333333285,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
53,1.7667,-0.43833333333333346,-0.06766666666666676,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
54,1.8,-0.3900000000000001,-0.017999999999999794,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
55,1.8333,-0.3416666666666668,0.03166666666666673,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
56,1.8667,-0.29333333333333345,0.0813333333333337,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
57,1.9,-0.2450000000000001,0.13100000000000023,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
58,1.9333,-0.19666666666666677,0.18066666666666675,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
59,1.9667,-0.14833333333333343,0.23033333333333328,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0,AgiBot Genie G2
60,2.0,-0.1,0.28,1.45,-1.0,-2.1,1.5,placing_board,1,0.0,0.0,0,AgiBot Genie G2
61,2.0333,-0.1,0.28,1.45,-1.0022222222222221,-2.0783333333333336,1.4964444444444445,placing_board,1,0.0,0.0,0,AgiBot Genie G2
62,2.0667,-0.1,0.28,1.45,-1.0044444444444445,-2.0566666666666666,1.492888888888889,placing_board,1,0.0,0.0,0,AgiBot Genie G2
63,2.1,-0.1,0.28,1.45,-1.0066666666666666,-2.035,1.4893333333333334,placing_board,1,0.0,0.0,0,AgiBot Genie G2
64,2.1333,-0.1,0.28,1.45,-1.008888888888889,-2.0133333333333336,1.4857777777777779,placing_board,1,0.0,0.0,0,AgiBot Genie G2
65,2.1667,-0.1,0.28,1.45,-1.011111111111111,-1.991666666666667,1.4822222222222223,placing_board,1,0.0,0.0,0,AgiBot Genie G2
66,2.2,-0.1,0.28,1.45,-1.0133333333333334,-1.97,1.4786666666666666,placing_board,1,0.0,0.0,0,AgiBot Genie G2
67,2.2333,-0.1,0.28,1.45,-1.0155555555555555,-1.9483333333333335,1.475111111111111,placing_board,1,0.0,0.0,0,AgiBot Genie G2
68,2.2667,-0.1,0.28,1.45,-1.0177777777777777,-1.9266666666666667,1.4715555555555555,placing_board,1,0.0,0.0,0,AgiBot Genie G2
69,2.3,-0.1,0.28,1.45,-1.02,-1.9050000000000002,1.468,placing_board,1,0.0,0.0,0,AgiBot Genie G2
70,2.3333,-0.1,0.28,1.45,-1.0222222222222221,-1.8833333333333333,1.4644444444444444,placing_board,1,0.0,0.0,0,AgiBot Genie G2
71,2.3667,-0.1,0.28,1.45,-1.0244444444444445,-1.8616666666666668,1.460888888888889,placing_board,1,0.0,0.0,0,AgiBot Genie G2
72,2.4,-0.1,0.28,1.45,-1.0266666666666666,-1.84,1.4573333333333334,placing_board,1,0.0,0.0,0,AgiBot Genie G2
73,2.4333,-0.1,0.28,1.45,-1.028888888888889,-1.8183333333333336,1.4537777777777778,placing_board,1,0.0,0.0,0,AgiBot Genie G2
74,2.4667,-0.1,0.28,1.45,-1.031111111111111,-1.7966666666666666,1.4502222222222223,placing_board,1,0.0,0.0,0,AgiBot Genie G2
75,2.5,-0.1,0.28,1.45,-1.0333333333333332,-1.7750000000000001,1.4466666666666668,placing_board,1,0.0,0.0,0,AgiBot Genie G2
76,2.5333,-0.1,0.28,1.45,-1.0355555555555556,-1.7533333333333334,1.443111111111111,placing_board,1,0.0,0.0,0,AgiBot Genie G2
77,2.5667,-0.1,0.28,1.45,-1.0377777777777777,-1.7316666666666665,1.4395555555555555,placing_board,1,0.0,0.0,0,AgiBot Genie G2
78,2.6,-0.1,0.28,1.45,-1.04,-1.71,1.436,placing_board,1,0.0,0.0,0,AgiBot Genie G2
79,2.6333,-0.1,0.28,1.45,-1.0422222222222222,-1.6883333333333335,1.4324444444444444,placing_board,1,0.0,0.0,0,AgiBot Genie G2
80,2.6667,-0.1,0.28,1.45,-1.0444444444444445,-1.6666666666666667,1.4288888888888889,placing_board,1,0.0,0.0,0,AgiBot Genie G2
81,2.7,-0.1,0.28,1.45,-1.0466666666666666,-1.645,1.4253333333333333,placing_board,1,0.0,0.0,0,AgiBot Genie G2
82,2.7333,-0.1,0.28,1.45,-1.048888888888889,-1.6233333333333333,1.4217777777777778,placing_board,1,0.0,0.0,0,AgiBot Genie G2
83,2.7667,-0.1,0.28,1.45,-1.051111111111111,-1.6016666666666668,1.4182222222222223,placing_board,1,0.0,0.0,0,AgiBot Genie G2
84,2.8,-0.1,0.28,1.45,-1.0533333333333332,-1.58,1.4146666666666667,placing_board,1,0.0,0.0,0,AgiBot Genie G2
85,2.8333,-0.1,0.28,1.45,-1.0555555555555556,-1.5583333333333331,1.411111111111111,placing_board,1,0.0,0.0,0,AgiBot Genie G2
86,2.8667,-0.1,0.28,1.45,-1.0577777777777777,-1.5366666666666666,1.4075555555555554,placing_board,1,0.0,0.0,0,AgiBot Genie G2
87,2.9,-0.1,0.28,1.45,-1.06,-1.5150000000000001,1.404,placing_board,1,0.0,0.0,0,AgiBot Genie G2
88,2.9333,-0.1,0.28,1.45,-1.0622222222222222,-1.4933333333333336,1.4004444444444444,placing_board,1,0.0,0.0,0,AgiBot Genie G2
89,2.9667,-0.1,0.28,1.45,-1.0644444444444445,-1.4716666666666667,1.3968888888888888,placing_board,1,0.0,0.0,0,AgiBot Genie G2
90,3.0,-0.1,0.28,1.45,-1.0666666666666667,-1.4500000000000002,1.3933333333333333,placing_board,1,0.0,0.0,0,AgiBot Genie G2
91,3.0333,-0.1,0.28,1.45,-1.0688888888888888,-1.4283333333333335,1.3897777777777778,placing_board,1,0.0,0.0,0,AgiBot Genie G2
92,3.0667,-0.1,0.28,1.45,-1.0711111111111111,-1.4066666666666665,1.3862222222222222,placing_board,1,0.0,0.0,0,AgiBot Genie G2
93,3.1,-0.1,0.28,1.45,-1.0733333333333333,-1.385,1.3826666666666667,placing_board,1,0.0,0.0,0,AgiBot Genie G2
94,3.1333,-0.1,0.28,1.45,-1.0755555555555556,-1.3633333333333333,1.3791111111111112,placing_board,1,0.0,0.0,0,AgiBot Genie G2
95,3.1667,-0.1,0.28,1.45,-1.0777777777777777,-1.3416666666666668,1.3755555555555556,placing_board,1,0.0,0.0,0,AgiBot Genie G2
96,3.2,-0.1,0.28,1.45,-1.08,-1.3199999999999998,1.3719999999999999,placing_board,1,0.0,0.0,0,AgiBot Genie G2
97,3.2333,-0.1,0.28,1.45,-1.0822222222222222,-1.2983333333333333,1.3684444444444444,placing_board,1,0.0,0.0,0,AgiBot Genie G2
98,3.2667,-0.1,0.28,1.45,-1.0844444444444443,-1.2766666666666668,1.3648888888888888,placing_board,1,0.0,0.0,0,AgiBot Genie G2
99,3.3,-0.1,0.28,1.45,-1.0866666666666667,-1.2550000000000001,1.3613333333333333,placing_board,1,0.0,0.0,0,AgiBot Genie G2
100,3.3333,-0.1,0.28,1.45,-1.0888888888888888,-1.2333333333333334,1.3577777777777778,placing_board,1,0.0,0.0,0,AgiBot Genie G2
101,3.3667,-0.1,0.28,1.45,-1.0911111111111111,-1.2116666666666667,1.3542222222222222,placing_board,1,0.0,0.0,0,AgiBot Genie G2
102,3.4,-0.1,0.28,1.45,-1.0933333333333333,-1.19,1.3506666666666667,placing_board,1,0.0,0.0,0,AgiBot Genie G2
103,3.4333,-0.1,0.28,1.45,-1.0955555555555556,-1.1683333333333334,1.3471111111111111,placing_board,1,0.0,0.0,0,AgiBot Genie G2
104,3.4667,-0.1,0.28,1.45,-1.0977777777777777,-1.1466666666666665,1.3435555555555556,placing_board,1,0.0,0.0,0,AgiBot Genie G2
105,3.5,-0.1,0.28,1.45,-1.1,-1.125,1.3399999999999999,placing_board,1,0.0,0.0,0,AgiBot Genie G2
106,3.5333,-0.1,0.28,1.45,-1.1022222222222222,-1.1033333333333335,1.3364444444444445,placing_board,1,0.0,0.0,0,AgiBot Genie G2
107,3.5667,-0.1,0.28,1.45,-1.1044444444444443,-1.0816666666666666,1.3328888888888888,placing_board,1,0.0,0.0,0,AgiBot Genie G2
108,3.6,-0.1,0.28,1.45,-1.1066666666666667,-1.06,1.3293333333333333,placing_board,1,0.0,0.0,0,AgiBot Genie G2
109,3.6333,-0.1,0.28,1.45,-1.1088888888888888,-1.0383333333333333,1.3257777777777777,placing_board,1,0.0,0.0,0,AgiBot Genie G2
110,3.6667,-0.1,0.28,1.45,-1.1111111111111112,-1.0166666666666668,1.3222222222222222,placing_board,1,0.0,0.0,0,AgiBot Genie G2
111,3.7,-0.1,0.28,1.45,-1.1133333333333333,-0.9949999999999999,1.3186666666666667,placing_board,1,0.0,0.0,0,AgiBot Genie G2
112,3.7333,-0.1,0.28,1.45,-1.1155555555555556,-0.9733333333333332,1.3151111111111111,placing_board,1,0.0,0.0,0,AgiBot Genie G2
113,3.7667,-0.1,0.28,1.45,-1.1177777777777778,-0.9516666666666667,1.3115555555555556,placing_board,1,0.0,0.0,0,AgiBot Genie G2
114,3.8,-0.1,0.28,1.45,-1.1199999999999999,-0.9299999999999999,1.308,placing_board,1,0.0,0.0,0,AgiBot Genie G2
115,3.8333,-0.1,0.28,1.45,-1.1222222222222222,-0.9083333333333332,1.3044444444444443,placing_board,1,0.0,0.0,0,AgiBot Genie G2
116,3.8667,-0.1,0.28,1.45,-1.1244444444444444,-0.8866666666666667,1.3008888888888888,placing_board,1,0.0,0.0,0,AgiBot Genie G2
