frame,time_s,phase,board_x,board_y,board_z,gun_x,gun_y,gun_z,nozzle_x,nozzle_y,nozzle_z,robot_x,robot_y,robot_z,ground_target_x,ground_target_y,ground_column_index,ground_row,robot_yaw_deg,active_fastener_index,state,arm_pose,collision_active,contact_force_n,tool_pressure,nails_installed,board_grasped,tool_grasped,nailing_reference_time_s,nailing_reference_frame,robot_label
20,0.6667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.974074074074074,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
21,0.7,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.971825,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
22,0.7333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.969525925925926,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
23,0.7667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9671824074074076,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
24,0.8,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9648,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
25,0.8333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.962384259259259,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
26,0.8667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9599407407407408,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
27,0.9,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.957475,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
28,0.9333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9549925925925926,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
29,0.9667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.952499074074074,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_board,folded,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
