frame,time_s,board_x,board_y,board_z,gun_x,gun_y,gun_z,state,collision_active,contact_force_n,tool_pressure,nails_installed
0,0.0,-3.0,-2.6,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
1,0.0333,-2.9516666666666667,-2.5613333333333332,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
2,0.0667,-2.9033333333333333,-2.522666666666667,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
3,0.1,-2.855,-2.484,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
4,0.1333,-2.8066666666666666,-2.4453333333333336,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
5,0.1667,-2.7583333333333333,-2.4066666666666667,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
6,0.2,-2.71,-2.368,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
7,0.2333,-2.6616666666666666,-2.3293333333333335,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
8,0.2667,-2.6133333333333333,-2.2906666666666666,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
9,0.3,-2.565,-2.2520000000000002,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
10,0.3333,-2.5166666666666666,-2.2133333333333334,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
11,0.3667,-2.4683333333333333,-2.174666666666667,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
12,0.4,-2.42,-2.136,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
13,0.4333,-2.3716666666666666,-2.0973333333333333,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
14,0.4667,-2.3233333333333333,-2.0586666666666664,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
15,0.5,-2.275,-2.02,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
16,0.5333,-2.2266666666666666,-1.9813333333333334,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
17,0.5667,-2.1783333333333332,-1.9426666666666668,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
18,0.6,-2.13,-1.904,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
19,0.6333,-2.081666666666667,-1.8653333333333335,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
20,0.6667,-2.033333333333333,-1.8266666666666667,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
21,0.7,-1.985,-1.788,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
22,0.7333,-1.9366666666666668,-1.7493333333333334,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
23,0.7667,-1.8883333333333332,-1.7106666666666666,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
24,0.8,-1.84,-1.672,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
25,0.8333,-1.7916666666666667,-1.6333333333333333,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
26,0.8667,-1.7433333333333334,-1.5946666666666667,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
27,0.9,-1.695,-1.5559999999999998,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
28,0.9333,-1.6466666666666667,-1.5173333333333332,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
29,0.9667,-1.5983333333333334,-1.4786666666666666,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
30,1.0,-1.55,-1.44,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
31,1.0333,-1.5016666666666665,-1.401333333333333,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
32,1.0667,-1.4533333333333334,-1.3626666666666667,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
33,1.1,-1.405,-1.3239999999999998,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
34,1.1333,-1.3566666666666667,-1.2853333333333332,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
35,1.1667,-1.3083333333333333,-1.2466666666666666,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
36,1.2,-1.26,-1.208,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
37,1.2333,-1.2116666666666667,-1.1693333333333331,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
38,1.2667,-1.1633333333333336,-1.1306666666666667,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
39,1.3,-1.115,-1.0919999999999999,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
40,1.3333,-1.0666666666666669,-1.0533333333333332,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
41,1.3667,-1.0183333333333333,-1.0146666666666666,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
42,1.4,-0.9700000000000002,-0.976,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
43,1.4333,-0.9216666666666669,-0.9373333333333331,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
44,1.4667,-0.8733333333333335,-0.8986666666666667,1.45,-1.0,-2.1,1.5,approach,0,0.0,0.0,0
