frame,time_s,board_x,board_y,board_z,gun_x,gun_y,gun_z,nozzle_x,nozzle_y,nozzle_z,robot_x,robot_y,robot_z,ground_target_x,ground_target_y,ground_column_index,ground_row,robot_yaw_deg,active_fastener_index,state,arm_pose,collision_active,contact_force_n,tool_pressure,nails_installed,tool_grasped,robot_label
19,0.6333,-0.1,0.28,1.45,-2.1136188316596476,-3.0684984688478565,1.59,-2.1136188316596476,-2.9084984688478563,1.34,-2.7136188316596477,-2.7684984688478567,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
20,0.6667,-0.1,0.28,1.45,-2.1049778641615373,-3.0453406759529207,1.59,-2.1049778641615373,-2.8853406759529205,1.34,-2.7049778641615374,-2.745340675952921,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
21,0.7,-0.1,0.28,1.45,-2.0959999999999996,-3.02128,1.59,-2.0959999999999996,-2.86128,1.34,-2.6959999999999997,-2.72128,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
22,0.7333,-0.1,0.28,1.45,-2.0866956052262173,-2.996344222006263,1.59,-2.0866956052262173,-2.8363442220062627,1.34,-2.6866956052262174,-2.696344222006263,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
23,0.7667,-0.1,0.28,1.45,-2.0770750458913723,-2.9705611229888778,1.59,-2.0770750458913723,-2.8105611229888776,1.34,-2.6770750458913724,-2.670561122988878,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
24,0.8,-0.1,0.28,1.45,-2.0671486880466468,-2.943958483965014,1.59,-2.0671486880466468,-2.783958483965014,1.34,-2.667148688046647,-2.6439584839650143,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
25,0.8333,-0.1,0.28,1.45,-2.056926897743224,-2.916564085951841,1.59,-2.056926897743224,-2.7565640859518408,1.34,-2.656926897743224,-2.616564085951841,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
26,0.8667,-0.1,0.28,1.45,-2.0464200410322855,-2.888405709966526,1.59,-2.0464200410322855,-2.728405709966526,1.34,-2.6464200410322856,-2.5884057099665263,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
27,0.9,-0.1,0.28,1.45,-2.0356384839650143,-2.8595111370262387,1.59,-2.0356384839650143,-2.6995111370262386,1.34,-2.6356384839650144,-2.559511137026239,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
28,0.9333,-0.1,0.28,1.45,-2.0245925925925925,-2.829908148148148,1.59,-2.0245925925925925,-2.669908148148148,1.34,-2.6245925925925926,-2.5299081481481482,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
29,0.9667,-0.1,0.28,1.45,-2.013292732966202,-2.799624524349422,1.59,-2.013292732966202,-2.639624524349422,1.34,-2.613292732966202,-2.4996245243494224,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
30,1.0,-0.1,0.28,1.45,-2.001749271137026,-2.76868804664723,1.59,-2.001749271137026,-2.60868804664723,1.34,-2.601749271137026,-2.4686880466472303,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
31,1.0333,-0.1,0.28,1.45,-1.9899725731562463,-2.7371264960587407,1.59,-1.9899725731562463,-2.5771264960587406,1.34,-2.5899725731562464,-2.437126496058741,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
32,1.0667,-0.1,0.28,1.45,-1.9779730050750457,-2.704967653601123,1.59,-1.9779730050750457,-2.5449676536011228,1.34,-2.577973005075046,-2.404967653601123,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
33,1.1,-0.1,0.28,1.45,-1.965760932944606,-2.6722393002915448,1.59,-1.965760932944606,-2.5122393002915446,1.34,-2.565760932944606,-2.372239300291545,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
34,1.1333,-0.1,0.28,1.45,-1.9533467228161103,-2.638969217147176,1.59,-1.9533467228161103,-2.478969217147176,1.34,-2.5533467228161104,-2.3389692171471763,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
35,1.1667,-0.1,0.28,1.45,-1.9407407407407402,-2.605185185185185,1.59,-1.9407407407407402,-2.445185185185185,1.34,-2.5407407407407403,-2.3051851851851852,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
36,1.2,-0.1,0.28,1.45,-1.9279533527696793,-2.5709149854227404,1.59,-1.9279533527696793,-2.4109149854227403,1.34,-2.5279533527696794,-2.2709149854227406,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
37,1.2333,-0.1,0.28,1.45,-1.9149949249541085,-2.536186398877011,1.59,-1.9149949249541085,-2.3761863988770107,1.34,-2.5149949249541086,-2.236186398877011,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
38,1.2667,-0.1,0.28,1.45,-1.9018758233452107,-2.5010272065651655,1.59,-1.9018758233452107,-2.3410272065651654,1.34,-2.5018758233452107,-2.2010272065651657,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,walk_to_drywall,folded,0,0.0,0.0,0,0,AgiBot Genie G2 (official USD)
